Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/08/2025,05/09/2025,MERCI MARKET,Groceries,Sale,-3.11,
05/07/2025,05/09/2025,CORNER GROCERS,Groceries,Sale,-16.59,
05/08/2025,05/09/2025,UBER   *TRIP,Travel,Sale,-17.11,
05/08/2025,05/09/2025,SQ *AMORINO LINCOLN CENTE,Food & Drink,Sale,-9.36,
05/07/2025,05/08/2025,Payment Thank You-Mobile,,Payment,1219.86,
05/08/2025,05/08/2025,SEAMLSS*ILLABORATORIOD,Food & Drink,Sale,-2.22,
05/07/2025,05/08/2025,PRIM THAI RESTAURANT,Food & Drink,Sale,-84.00,
05/07/2025,05/08/2025,CREME,Food & Drink,Sale,-20.65,
05/06/2025,05/07/2025,SQ *PAUSE CAFE,Food & Drink,Sale,-30.05,
05/05/2025,05/06/2025,DUANE READE #14185,Health & Wellness,Sale,-15.27,
05/05/2025,05/06/2025,WHOLEFDS HOU 10236,Groceries,Sale,-17.73,
05/06/2025,05/06/2025,Amazon.com*NB7CR4BK0,Shopping,Sale,-15.91,
05/05/2025,05/06/2025,THE UPS STORE 7525,Personal,Sale,-19.77,
05/04/2025,05/06/2025,TST*LUDLOW COFFEE SUPPLY,Food & Drink,Sale,-5.94,
05/03/2025,05/05/2025,CORNER GROCERS,Groceries,Sale,-4.15,
05/03/2025,05/05/2025,BREEZY HILL ORCHARD,Groceries,Sale,-14.70,
05/04/2025,05/05/2025,KATAGIRI JAPANESE GROCERY,Groceries,Sale,-4.99,
05/04/2025,05/05/2025,KATAGIRI JAPANESE GROCERY,Groceries,Sale,-27.73,
05/04/2025,05/05/2025,SQ *THE MODERN CHEMIST -,Health & Wellness,Sale,-7.62,
05/03/2025,05/05/2025,HAPPINESS FOOD MART AND D,Groceries,Sale,-3.12,
05/03/2025,05/04/2025,LANIS FARM,Groceries,Sale,-9.00,
05/03/2025,05/04/2025,SQ *DELANCEY WINE,Groceries,Sale,-13.05,
05/03/2025,05/04/2025,NATIONWIDE PET INS,Bills & Utilities,Sale,-62.14,
05/01/2025,05/04/2025,STAPLES       00109538,Shopping,Sale,-5.98,
05/03/2025,05/04/2025,SQ *LIBRAE BAKERY,Food & Drink,Sale,-26.13,
05/03/2025,05/04/2025,GIV*RESURRECTION,Gifts & Donations,Sale,-90.56,
05/03/2025,05/04/2025,ESPERANZA DE VIDA CC,Gifts & Donations,Sale,-90.60,
05/03/2025,05/04/2025,SQ *DELANCEY WINE,Groceries,Sale,-32.65,
05/03/2025,05/04/2025,SQ *MANDRAKE CAFE NYC,Food & Drink,Sale,-14.40,
05/03/2025,05/04/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
05/03/2025,05/04/2025,SQ *RIVERINE RANCH,Groceries,Sale,-16.00,
05/03/2025,05/04/2025,WHOLEFDS USQ 10162,Groceries,Sale,-14.28,
05/03/2025,05/04/2025,WHOLEFDS USQ 10162,Groceries,Sale,-3.09,
05/03/2025,05/04/2025,SQ *CHERRY LANE FARMS LLC,Groceries,Sale,-8.00,
05/02/2025,05/04/2025,SQ *MANDRAKE CAFE NYC,Food & Drink,Sale,-20.05,
05/03/2025,05/04/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
05/03/2025,05/04/2025,DURRS BLUE BOX PRODUCE,Groceries,Sale,-20.00,
04/30/2025,05/02/2025,TRADER JOE S #538,Groceries,Sale,-35.62,
04/30/2025,05/02/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
05/01/2025,05/02/2025,SQ *SON DEL NORTH,Food & Drink,Sale,-40.46,
05/01/2025,05/02/2025,SQ *BLUE BOTTLE COFFEE,Food & Drink,Sale,-21.14,
05/01/2025,05/02/2025,The Metropolitan Opera,Gifts & Donations,Sale,-90.00,
05/01/2025,05/02/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/30/2025,05/02/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/30/2025,05/02/2025,CORNER GROCERS,Groceries,Sale,-8.29,
05/01/2025,05/02/2025,Patreon* Membership,Entertainment,Sale,-27.00,
04/29/2025,05/01/2025,PIANOS,Food & Drink,Sale,-20.56,
04/30/2025,05/01/2025,NEWSCHOOLDINING CAFE,Food & Drink,Sale,-8.79,
04/29/2025,05/01/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/29/2025,05/01/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/30/2025,04/30/2025,Payment Thank You-Mobile,,Payment,1090.43,
04/30/2025,04/30/2025,CKA KA QELLUE,Food & Drink,Sale,-97.03,
04/30/2025,04/30/2025,UBER   *TRIP,Travel,Sale,-13.89,
04/29/2025,04/30/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/28/2025,04/30/2025,ESSEX FARM,Groceries,Sale,-27.43,
04/28/2025,04/30/2025,TRADER JOE S #538,Groceries,Sale,-94.88,
04/28/2025,04/30/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/29/2025,04/30/2025,CVS/PHARMACY #10612,Health & Wellness,Sale,-5.43,
04/29/2025,04/30/2025,GREENWICH VILLAGE LOCK,Personal,Sale,-103.44,
04/29/2025,04/30/2025,CREME,Food & Drink,Sale,-6.89,
04/28/2025,04/29/2025,MARSHALLS #1393,Shopping,Sale,-13.04,
04/29/2025,04/29/2025,LABORATORIO DEL GELATO,Groceries,Sale,-49.00,
04/28/2025,04/29/2025,SQ *CAFE D?AVIGNON,Food & Drink,Sale,-23.10,
04/28/2025,04/29/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/28/2025,04/29/2025,MERCI MARKET,Groceries,Sale,-12.23,
04/28/2025,04/29/2025,UBER   *TRIP,Travel,Sale,-29.96,
04/28/2025,04/29/2025,TST* 7TH STREET BURGER -,Food & Drink,Sale,-22.68,
04/28/2025,04/29/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.78,
04/27/2025,04/28/2025,DUFRY MXT850 AICM T2 I,Shopping,Sale,-32.84,
04/26/2025,04/28/2025,GRUPO LOLU,Food & Drink,Sale,-2.47,
04/27/2025,04/28/2025,KONFIO *REST RUTAS CAF,Food & Drink,Sale,-15.82,
04/27/2025,04/28/2025,UBER* TRIP,Travel,Sale,-7.19,
04/27/2025,04/28/2025,UBER* TRIP,Travel,Sale,-1.60,
04/27/2025,04/28/2025,COM RAP ACO MX APTO T2,Food & Drink,Sale,-11.92,
04/27/2025,04/28/2025,UBER* TRIP,Travel,Sale,-5.14,
04/27/2025,04/28/2025,COM RAP KE RICO T2,Food & Drink,Sale,-5.75,
04/26/2025,04/27/2025,MERPAGO*CULTURALROOTS,Entertainment,Sale,-277.34,
04/26/2025,04/27/2025,UBER* TRIP,Travel,Sale,-1.03,
04/24/2025,04/27/2025,LA CASA DE TONO P ROSA,Food & Drink,Sale,-12.37,
04/26/2025,04/27/2025,ZTL*CUMBECOFFEEROASTER,Shopping,Sale,-6.57,
04/26/2025,04/27/2025,REST TIERRADENTRO,Food & Drink,Sale,-64.12,
04/25/2025,04/27/2025,AIRBNB * TA8Y9SR3,Travel,Return,69.68,
04/24/2025,04/27/2025,WM EXPRESS MICHOACAN,Groceries,Sale,-7.57,
04/26/2025,04/27/2025,UBER* TRIP,Travel,Sale,-3.59,
04/25/2025,04/27/2025,POINTMP*CENTRINARIC,Shopping,Sale,-6.39,
04/26/2025,04/27/2025,UBER* TRIP,Travel,Sale,-5.64,
04/25/2025,04/27/2025,UBER* TRIP,Travel,Sale,-1.03,
04/25/2025,04/27/2025,WM EXPRESS PACHUCA,Groceries,Sale,-6.24,
04/25/2025,04/27/2025,TDA DEL MNA AC,Entertainment,Sale,-18.23,
04/25/2025,04/27/2025,REST BEATRICITA,Food & Drink,Sale,-15.08,
04/25/2025,04/27/2025,UBER* TRIP,Travel,Sale,-4.11,
04/25/2025,04/27/2025,UBER* TRIP,Travel,Sale,-0.51,
04/25/2025,04/27/2025,UBER* TRIP,Travel,Sale,-3.07,
04/26/2025,04/27/2025,UBER* TRIP,Travel,Sale,-1.03,
04/24/2025,04/27/2025,GRUPO LOLU,Food & Drink,Sale,-20.57,
04/26/2025,04/27/2025,ZTL*ODETTECUISINE,Shopping,Sale,-5.24,
04/25/2025,04/27/2025,PAN CHAPULTEPEC,Food & Drink,Sale,-1.18,
04/26/2025,04/27/2025,UBER* TRIP,Travel,Sale,-11.30,
04/24/2025,04/25/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/24/2025,04/25/2025,CINNABON T2,Food & Drink,Sale,-4.62,
04/24/2025,04/25/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/24/2025,04/25/2025,UBER* TRIP,Travel,Sale,-12.14,
04/23/2025,04/25/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/24/2025,04/25/2025,CLIP MX*MAMA CARMELA,Food & Drink,Sale,-2.30,
04/24/2025,04/25/2025,UBER* TRIP,Travel,Sale,-0.77,
04/25/2025,04/25/2025,AIRBNB * TAKH3WPT,Travel,Sale,-69.68,
04/23/2025,04/25/2025,TST*LUDLOW COFFEE SUPPLY,Food & Drink,Sale,-5.50,
04/25/2025,04/25/2025,AIRBNB * TA8Y9SR3,Travel,Sale,-69.68,
04/24/2025,04/25/2025,HUDSONNEWS  ST1176,Shopping,Sale,-46.97,
04/23/2025,04/25/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/24/2025,04/25/2025,MTA*NYCT PAYGO,Travel,Sale,-8.50,
04/24/2025,04/25/2025,MTA*NYCT PAYGO,Travel,Sale,-8.50,
04/24/2025,04/25/2025,POINTMP*BLENDSTATION,Shopping,Sale,-8.83,
04/23/2025,04/24/2025,Payment Thank You-Mobile,,Payment,971.10,
04/23/2025,04/24/2025,SQ *THE DRUNKEN MUNKEY,Food & Drink,Sale,-79.04,
04/24/2025,04/24/2025,UBER   *TRIP,Travel,Sale,-29.67,
04/23/2025,04/24/2025,PRIM THAI RESTAURANT,Food & Drink,Sale,-30.00,
04/22/2025,04/24/2025,CELLOS PIZZERIA,Food & Drink,Sale,-14.33,
04/22/2025,04/24/2025,TST*886,Food & Drink,Sale,-28.35,
04/20/2025,04/22/2025,TRADER JOE S #538,Groceries,Sale,-61.94,
04/20/2025,04/22/2025,TST*SOLEDAD,Food & Drink,Sale,-90.86,
04/21/2025,04/22/2025,Amazon.com*NH8Y25723,Shopping,Sale,-15.23,
04/21/2025,04/22/2025,Amazon.com*500YG2ND3,Shopping,Sale,-108.86,
04/21/2025,04/22/2025,AMAZON MKTPL*I81VY1573,Shopping,Sale,-48.98,
04/21/2025,04/22/2025,SEAMLSS*AAHARINDIANCUI,Food & Drink,Sale,-27.61,
04/20/2025,04/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/18/2025,04/21/2025,KIKOO SUSHI,Food & Drink,Sale,-109.11,
04/19/2025,04/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/19/2025,04/21/2025,SPACE MARKET,Groceries,Sale,-6.00,
04/20/2025,04/21/2025,SQ *MADAME BONTE 94,Food & Drink,Sale,-20.58,
04/19/2025,04/21/2025,CORNER GROCERS,Groceries,Sale,-35.78,
04/20/2025,04/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/19/2025,04/20/2025,Payment Thank You - Web,,Payment,156.68,
04/19/2025,04/20/2025,ESPERANZA DE VIDA CC,Gifts & Donations,Sale,-90.60,
04/19/2025,04/20/2025,UBER   *TRIP,Travel,Sale,-38.92,
04/18/2025,04/20/2025,TST*LUDLOW COFFEE SUPPLY,Food & Drink,Sale,-14.38,
04/17/2025,04/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/19/2025,04/20/2025,SP HARNEYSOHO,Groceries,Sale,-34.95,
04/18/2025,04/20/2025,TARGET        00032847,Shopping,Sale,-26.66,
04/18/2025,04/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/17/2025,04/20/2025,CORNER GROCERS,Groceries,Sale,-9.34,
04/19/2025,04/20/2025,SQ *COFFEE PROJECT NEW YO,Food & Drink,Sale,-6.53,
04/19/2025,04/20/2025,SQ *BIG GAY ICE CREAM NER,Food & Drink,Sale,-5.76,
04/19/2025,04/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
